Date,Open,High,Low,Close,Adj Close,Volume
2022-11-01,13.450000,13.500000,13.160000,13.160000,13.149186,46336
2022-11-02,13.450000,13.800000,12.850000,12.900000,12.889401,60967
2022-11-03,12.650000,13.280000,12.650000,13.030000,13.019295,38646
2022-11-04,13.560000,13.800000,13.320000,13.730000,13.718719,94225
2022-11-07,13.830000,13.990000,13.560000,13.890000,13.878588,88651
2022-11-08,14.350000,14.440000,13.860000,14.170000,14.158358,71569
2022-11-09,13.780000,13.780000,13.360000,13.360000,13.349023,58903
2022-11-10,14.400000,15.290000,14.150000,15.250000,15.237471,169169
2022-11-11,15.290000,15.880000,15.050000,15.810000,15.797010,255499
2022-11-14,15.770000,16.040001,15.500000,15.790000,15.777027,87057
2022-11-15,16.200001,16.459999,15.930000,16.139999,16.126738,84880
2022-11-16,15.730000,15.780000,15.420000,15.420000,15.407331,49268
2022-11-17,15.310000,15.750000,15.090000,15.180000,15.167528,54540
2022-11-18,15.510000,15.510000,14.660000,14.960000,14.947710,46101
2022-11-21,14.720000,14.970000,14.660000,14.920000,14.907741,12588
2022-11-22,14.910000,15.570000,14.700000,15.570000,15.557207,22179
2022-11-23,15.630000,15.990000,15.630000,15.990000,15.976863,53037
2022-11-24,16.000000,16.440001,15.750000,16.360001,16.346560,14960
2022-11-25,15.850000,15.950000,15.780000,15.780000,15.767035,42860
2022-11-28,15.500000,15.810000,15.260000,15.370000,15.357371,26884
2022-11-29,15.250000,15.420000,15.060000,15.130000,15.117570,16224
2022-11-30,15.420000,16.370001,15.130000,16.320000,16.310753,74516
2022-12-01,16.400000,16.690001,16.100000,16.559999,16.550615,97910
2022-12-02,16.180000,16.330000,15.970000,16.320000,16.310753,45206
2022-12-05,16.150000,16.370001,15.960000,16.049999,16.040905,59560
2022-12-06,15.990000,15.990000,15.300000,15.430000,15.421256,90771
2022-12-07,15.210000,15.630000,15.210000,15.590000,15.581165,91565
2022-12-08,15.780000,16.620001,15.500000,16.620001,16.610582,115557
2022-12-09,16.620001,16.980000,16.450001,16.450001,16.440681,78620
2022-12-12,16.260000,16.940001,16.260000,16.940001,16.930403,32109
2022-12-13,17.799999,18.120001,17.170000,17.450001,17.440113,145773
2022-12-14,17.350000,17.620001,16.860001,17.100000,17.090313,61828
2022-12-15,16.540001,16.700001,16.180000,16.420000,16.410694,60024
2022-12-16,16.280001,16.379999,15.870000,16.040001,16.030912,34444
2022-12-19,16.059999,16.059999,15.630000,15.690000,15.681109,63134
2022-12-20,15.500000,15.700000,15.350000,15.510000,15.501212,25620
2022-12-21,15.600000,16.059999,15.600000,15.960000,15.950955,40828
2022-12-22,15.520000,15.520000,14.400000,14.770000,14.761630,104270
2022-12-23,14.650000,14.790000,14.450000,14.700000,14.691671,53125
2022-12-28,13.750000,13.770000,13.440000,13.570000,13.562310,91403
2022-12-29,13.850000,14.150000,13.770000,14.070000,14.062028,67874
2022-12-30,13.880000,14.100000,13.850000,14.100000,14.092010,24284
2023-01-03,14.300000,14.450000,13.650000,13.830000,13.822163,39902
2023-01-04,14.090000,14.290000,13.750000,14.200000,14.191954,76991
2023-01-05,14.000000,14.000000,13.690000,13.750000,13.742208,88110
2023-01-06,13.930000,14.480000,13.620000,14.340000,14.331875,61392
2023-01-09,14.780000,15.440000,14.630000,15.020000,15.011489,69858
2023-01-10,14.970000,15.370000,14.970000,15.370000,15.361291,38364
2023-01-11,15.290000,15.440000,15.060000,15.440000,15.431251,63061
2023-01-12,15.600000,16.020000,14.990000,15.920000,15.910980,56065
2023-01-13,15.740000,16.299999,15.740000,16.280001,16.270775,39144
2023-01-16,16.230000,16.730000,16.110001,16.450001,16.440681,24457
2023-01-17,16.400000,17.070000,16.350000,17.030001,17.020350,154341
2023-01-18,17.059999,17.219999,16.660000,16.719999,16.710527,69539
